orijinal_ad,standart_ad,taraf
100 kafir,100 Kafir,karakter_1
100 kafir,100 Kafir,karakter_2
16 asker ve uruz,16 Asker ve Uruz,event_aktor
16 bin kafir,16 Bin Kafir,karakter_1
24 sancak beyi,24 Sancak Beyi,karakter_2
300 akıncı,300 Akıncı,karakter_2
300 asker,300 Asker,karakter_2
300 kafir,300 Kafir,karakter_1
300 kafir,300 Kafir,karakter_2
40 askeri,40 Askeri,karakter_2
40 ince belli kız,40 Ince Belli Kız,karakter_2
40 yiğit,40 Yiğit,karakter_2
6 kafir,6 Kafir,karakter_2
60 kafir,60 Kafir,karakter_2
600 kafir,600 Kafir,karakter_1
600 kafir,600 Kafir,karakter_2
ak melik,Ak Melik,karakter_1
ak saka kalesi casusları,Ak Saka Kalesi Casusları,karakter_1
ak sakallı aruz koca,Ak Sakallı Aruz Koca,karakter_1
alp eren,Alp Eren,karakter_1
alp eren,Alp Eren,karakter_2
alp rüstem,Alp Rüstem,karakter_1
alp rüstem,Alp Rüstem,karakter_2
alplar başı kazan,Alplar Başı Kazan,karakter_1
altı bey oğlu,Altı Bey Oğlu,karakter_2
anne babası,Anne Babası,karakter_1
"anne, babasının elini öpüp yola çıktı",Anne ve Babası,karakter_2
basatın ana babsı,Anne ve Babası,karakter_2
annesi,Annesi,karakter_2
annesi,Annesi,karakter_1
aruz,Aruz,karakter_1
aruz,Aruz,karakter_2
aruz emen,Aruz Emen,karakter_1
aruz koca,Aruz Koca,karakter_1
aruz koca,Aruz Koca,karakter_2
aruz koca (sütle besleyelim) - 1 kazan süt yetmedi,Aruz Koca,karakter_2
aruz ve dış oğuz beyleri,Aruz ve Dış Oğuz Beyleri,karakter_1
aruz ve dış oğuz beyleri,Aruz ve Dış Oğuz Beyleri,karakter_2
aruzun habercisi,Aruzun Habercisi,karakter_1
arşın oğlu direk tekfur,Arşın Oğlu Direk Tekfur,karakter_2
arşın oğlu direk tekfur,Arşın Oğlu Direk Tekfur,karakter_1
askerler,Askerler,karakter_2
askerleri,Askerleri,karakter_2
aslan,Aslan,karakter_2
aslan,Aslan,karakter_1
aslan yatağı,Aslan Yatağı,karakter_2
at ağızlı aruz,At Ağızlı Aruz,karakter_2
at ağızlı aruz koca,At Ağızlı Aruz Koca,karakter_2
azrail,Azrail,karakter_2
azrail,Azrail,karakter_1
ağaç,Ağaç,karakter_2
bamsı - bezirganlar,Bamsı - Bezirganlar,karakter_2
bamsı,Bamsı Beyrek,karakter_2
bamsı,Bamsı Beyrek,karakter_1
bamsı beyrek,Bamsı Beyrek,karakter_2
bamsı beyrek,Bamsı Beyrek,karakter_1
beyrek,Bamsı Beyrek,karakter_1
beyrek,Bamsı Beyrek,karakter_2
bamsı ve bamsının 40 yiğidi,Bamsı ve Bamsının 40 Yiğidi,karakter_2
bamsı'nın 40 yiğidi,Bamsı'nın 40 Yiğidi,event_aktor
bamsı'nın anne babası,Bamsı'nın Anne Babası,karakter_1
"bamsı'nın anne, babası","Bamsı'nın Anne, Babası",karakter_1
bamsı'nın haberi gelince,Bamsı'nın Haberi Gelince,karakter_2
bamsı'nın haberi gelince siyah giyme yas tutma,Bamsı'nın Haberi Gelince Siyah Giyme Yas Tutma,karakter_2
bamsı'nın kız kardeşleri,Bamsı'nın Kız Kardeşleri,event_aktor
bamsı'nın naibi,Bamsı'nın Naibi,karakter_2
banu çiçek,Banu Çiçek,karakter_1
banu çiçek,Banu Çiçek,event_aktor
banu çiçek,Banu Çiçek,karakter_2
basat,Basat,karakter_1
basat,Basat,karakter_2
basat,Basat,event_aktor
"basat (kurtuldun mu?, basat tanrım kurtardı) çatışma",Basat,karakter_2
basatın dönüşünü muştuladı,Basat,event_hedef
basatın üzerindeki deriyi yakaladı; beni böyle vuracağını nasıl bildin diye sordu,Basat,karakter_2
basatın annesi,Basat'ın Annesi,karakter_2
bayat boyu,Bayat Boyu,karakter_2
bayburd hisarındaki kafirler,Bayburd Hisarındaki Kafirler,karakter_1
bayburt hisarı beyi,Bayburt Hisarı Beyi,karakter_2
bayburt hisrası meliki'nin kızı,Bayburt Hisrası Meliki'nin Kızı,karakter_2
bayındır han,Bayındır Han,karakter_1
bayındır han,Bayındır Han,karakter_2
"bayındır han (bu üçünü birine verelim, oğuza karakol olsun) fikir",Bayındır Han,karakter_2
dokuz tümen gürcistan'ın haracı geldi,Bayındır Han,event_aktor
bayındır han kazan,Bayındır Han Kazan,karakter_2
bayındır han'ın adamları,Bayındır Han'ın Adamları,karakter_2
begil,Begil,karakter_2
begil,Begil,karakter_1
begil,Begil,event_aktor
begil (bana zırhını ver düşmana karşı gideyim) ikna,Begil,karakter_2
begil avda ayağıı kırdı,Begil,event_aktor
begil bey,Begil Bey,karakter_2
begil bey,Begil Bey,karakter_1
begil'in adamları,Begil'in Adamları,karakter_2
begilin adamları,Begilin Adamları,karakter_2
begilin atını gören kafir,Begilin Atını,event_aktor
begilin beyleri,Begilin Beyleri,event_aktor
begilin casusu,Begilin Casusu,karakter_1
begilin hısmı ve kavmi,Begilin Hısmı ve Kavmi,karakter_2
begilin karısı,Begilin Karısı,karakter_1
begilin karısı,Begilin Karısı,karakter_2
beyerek,Beyerek,karakter_2
beyler,Beyler,karakter_2
beyler,Beyler,karakter_1
