kayit_id,source_file,degisim_tipi,alan,eski_deger,yeni_deger,gerekce,duzenleme_turu
DKR0019,02_dirse_han_oglu_bogac_han_boyu.csv,ad_standardizasyonu,karakter_1,Dirse'nin 40 Adamı,Dirse Han'ın 40 Adamı,alias/generic bağlama göre düzeltildi,
DKR0020,02_dirse_han_oglu_bogac_han_boyu.csv,ad_standardizasyonu,karakter_1,Dirse'nin 40 Adamı,Dirse Han'ın 40 Adamı,alias/generic bağlama göre düzeltildi,
DKR0021,02_dirse_han_oglu_bogac_han_boyu.csv,ad_standardizasyonu,karakter_1,Dirse'nin Karısı,Dirse Han'ın Karısı,alias/generic bağlama göre düzeltildi,
DKR0022,02_dirse_han_oglu_bogac_han_boyu.csv,ad_standardizasyonu,karakter_1,Dirse'nin 40 Adamı,Dirse Han'ın 40 Adamı,alias/generic bağlama göre düzeltildi,
DKR0023,02_dirse_han_oglu_bogac_han_boyu.csv,ad_standardizasyonu,karakter_1,Dirse'nin 40 Adamı,Dirse Han'ın 40 Adamı,alias/generic bağlama göre düzeltildi,
DKR0023,02_dirse_han_oglu_bogac_han_boyu.csv,ad_standardizasyonu,karakter_2,Dirse'nin Karısı,Dirse Han'ın Karısı,alias/generic bağlama göre düzeltildi,
DKR0024,02_dirse_han_oglu_bogac_han_boyu.csv,ad_standardizasyonu,karakter_1,Dirse'nin Karısı,Dirse Han'ın Karısı,alias/generic bağlama göre düzeltildi,
DKR0027,02_dirse_han_oglu_bogac_han_boyu.csv,ad_standardizasyonu,karakter_1,Dirse'nin Karısı,Dirse Han'ın Karısı,alias/generic bağlama göre düzeltildi,
DKR0029,02_dirse_han_oglu_bogac_han_boyu.csv,ad_standardizasyonu,karakter_1,Dirse'nin 40 Adamı,Dirse Han'ın 40 Adamı,alias/generic bağlama göre düzeltildi,
DKR0030,02_dirse_han_oglu_bogac_han_boyu.csv,ad_standardizasyonu,karakter_1,Dirse'nin 40 Adamı,Dirse Han'ın 40 Adamı,alias/generic bağlama göre düzeltildi,
DKR0031,02_dirse_han_oglu_bogac_han_boyu.csv,ad_standardizasyonu,karakter_1,Dirse'nin Karısı,Dirse Han'ın Karısı,alias/generic bağlama göre düzeltildi,
DKR0033,02_dirse_han_oglu_bogac_han_boyu.csv,ad_standardizasyonu,karakter_2,Dirse'nin 40 Adamı,Dirse Han'ın 40 Adamı,alias/generic bağlama göre düzeltildi,
DKR0035,02_dirse_han_oglu_bogac_han_boyu.csv,ad_standardizasyonu,karakter_2,Dirse'nin 40 Adamı,Dirse Han'ın 40 Adamı,alias/generic bağlama göre düzeltildi,
DKR0041,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_2,Beyler,Beyler (Ev Yağması Boyu),alias/generic bağlama göre düzeltildi,
DKR0043,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_2,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0045,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_2,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0046,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0047,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0063,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0064,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0065,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0066,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0067,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0068,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0069,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0070,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_2,Kafirler,Kafirler (Ev Yağması Boyu),alias/generic bağlama göre düzeltildi,
DKR0075,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_2,Kafirler,Kafirler (Ev Yağması Boyu),alias/generic bağlama göre düzeltildi,
DKR0076,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0077,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0080,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_2,Kafirler,Kafirler (Ev Yağması Boyu),alias/generic bağlama göre düzeltildi,
DKR0083,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_2,Kafirler,Kafirler (Ev Yağması Boyu),alias/generic bağlama göre düzeltildi,
DKR0085,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_2,Kafirler,Kafirler (Ev Yağması Boyu),alias/generic bağlama göre düzeltildi,
DKR0086,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0087,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_2,Kafirler,Kafirler (Ev Yağması Boyu),alias/generic bağlama göre düzeltildi,
DKR0088,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_2,Kafirler,Kafirler (Ev Yağması Boyu),alias/generic bağlama göre düzeltildi,
DKR0095,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_2,Kafirler,Kafirler (Ev Yağması Boyu),alias/generic bağlama göre düzeltildi,
DKR0096,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_2,Kafirler,Kafirler (Ev Yağması Boyu),alias/generic bağlama göre düzeltildi,
DKR0097,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_2,Kafirler,Kafirler (Ev Yağması Boyu),alias/generic bağlama göre düzeltildi,
DKR0101,03_salur_kazanin_evinin_yagmalandigi.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0112,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,ad_standardizasyonu,karakter_2,Beyler,Beyler (Bamsı Beyrek Boyu),alias/generic bağlama göre düzeltildi,
DKR0152,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,ad_standardizasyonu,karakter_1,"Bamsı'nın Anne, Babası",Bamsı'nın Anne Babası,alias/generic bağlama göre düzeltildi,
DKR0162,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,ad_standardizasyonu,karakter_1,Beyler,Beyler (Bamsı Beyrek Boyu),alias/generic bağlama göre düzeltildi,
DKR0163,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,ad_standardizasyonu,karakter_2,Beyler,Beyler (Bamsı Beyrek Boyu),alias/generic bağlama göre düzeltildi,
