dugum_id,dugum_adi,dugum_tipi,toplam_gorunum,edge_gorunumu,event_gorunumu,boy_sayisi
100_kafir,100 Kafir,kişi,2,2,0,2
16_asker_ve_uruz,16 Asker ve Uruz,grup,1,0,1,1
16_bin_kafir,16 Bin Kafir,kişi,1,1,0,1
24_sancak_beyi,24 Sancak Beyi,grup,2,2,0,1
300_akinci,300 Akıncı,kişi,1,1,0,1
300_asker,300 Asker,grup,2,2,0,2
300_kafir,300 Kafir,kişi,11,11,0,2
40_askeri,40 Askeri,grup,1,1,0,1
40_ince_belli_kiz,40 Ince Belli Kız,kişi,3,3,0,3
40_yigit,40 Yiğit,grup,1,1,0,1
6_kafir,6 Kafir,kişi,1,1,0,1
60_kafir,60 Kafir,kişi,1,1,0,1
600_kafir,600 Kafir,kişi,7,7,0,3
adsiz_kisi_uruz_kurtarma_boyu,Adsız Kişi (Uruz Kurtarma Boyu),kişi,5,5,0,1
ak_melik,Ak Melik,kişi,1,1,0,1
ak_saka_kalesi_casuslari,Ak Saka Kalesi Casusları,grup,1,1,0,1
ak_sakalli_aruz_koca,Ak Sakallı Aruz Koca,kişi,1,1,0,1
alp_eren,Alp Eren,kişi,3,3,0,1
alp_rustem,Alp Rüstem,kişi,4,4,0,3
alplar_basi_kazan,Alplar Başı Kazan,kişi,1,1,0,1
alti_bey_oglu,Altı Bey Oğlu,kişi,1,1,0,1
anne_ve_babasi,Anne ve Babası,grup,3,3,0,3
annesi,Annesi,kişi,4,4,0,2
aruz,Aruz,kişi,24,24,0,2
aruz_emen,Aruz Emen,kişi,1,0,1,1
aruz_koca,Aruz Koca,kişi,10,10,0,2
aruz_ve_dis_oguz_beyleri,Aruz ve Dış Oğuz Beyleri,grup,2,2,0,1
aruzun_habercisi,Aruzun Habercisi,kişi,1,1,0,1
arsin_oglu_direk_tekfur,Arşın Oğlu Direk Tekfur,kişi,7,7,0,1
askerler,Askerler,grup,1,1,0,1
aslan,Aslan,hayvan,2,2,0,2
aslan_yatagi,Aslan Yatağı,nesne/doğa,1,1,0,1
at_agizli_aruz,At Ağızlı Aruz,kişi,1,1,0,1
at_agizli_aruz_koca,At Ağızlı Aruz Koca,kişi,2,2,0,1
azrail,Azrail,mitolojik/ilahi,9,9,0,1
agac,Ağaç,nesne/doğa,1,1,0,1
bamsi_beyrek,Bamsı Beyrek,kişi,69,65,4,4
bamsi_ve_bamsinin_40_yigidi,Bamsı ve Bamsının 40 Yiğidi,grup,1,1,0,1
bamsinin_40_yigidi,Bamsı'nın 40 Yiğidi,grup,1,0,1,1
bamsinin_anne_babasi,Bamsı'nın Anne Babası,grup,2,1,1,1
bamsinin_haberi_gelince,Bamsı'nın Haberi Gelince,kişi,1,1,0,1
bamsinin_haberi_gelince_siyah_giyme_yas_tutma,Bamsı'nın Haberi Gelince Siyah Giyme Yas Tutma,kişi,1,1,0,1
bamsinin_kiz_kardesleri,Bamsı'nın Kız Kardeşleri,grup,1,0,1,1
bamsinin_naibi,Bamsı'nın Naibi,kişi,1,1,0,1
banu_cicek,Banu Çiçek,kişi,13,10,3,1
basat,Basat,kişi,30,27,3,2
basatin_annesi,Basat'ın Annesi,kişi,1,1,0,1
bayat_boyu,Bayat Boyu,grup,1,1,0,1
bayburd_hisarindaki_kafirler,Bayburd Hisarındaki Kafirler,grup,1,1,0,1
bayburt_hisari_beyi,Bayburt Hisarı Beyi,kişi,1,1,0,1
bayburt_hisrasi_melikinin_kizi,Bayburt Hisrası Meliki'nin Kızı,kişi,1,1,0,1
bayindir_han,Bayındır Han,kişi,37,36,1,7
bayindir_han_kazan,Bayındır Han Kazan,kişi,1,1,0,1
bayindir_hanin_adamlari,Bayındır Han'ın Adamları,grup,1,1,0,1
bas_acik,Baş Açık,kişi,1,1,0,1
begil,Begil,kişi,29,26,3,1
begilin_adamlari,Begil'in Adamları,grup,1,1,0,1
begil_in_adamlari,Begil'in Adamları,grup,1,1,0,1
begilin_atini,Begilin Atını,hayvan,1,0,1,1
begilin_beyleri,Begilin Beyleri,grup,1,0,1,1
begilin_casusu,Begilin Casusu,kişi,1,1,0,1
begilin_hismi_ve_kavmi,Begilin Hısmı ve Kavmi,grup,1,1,0,1
begilin_karisi,Begilin Karısı,kişi,6,6,0,1
beyerek,Beyerek,kişi,1,1,0,1
beyler_bamsi_beyrek_boyu,Beyler (Bamsı Beyrek Boyu),grup,6,5,1,1
beyler_basat_boyu,Beyler (Basat Boyu),grup,2,2,0,1
beyler_begil_boyu,Beyler (Begil Boyu),grup,5,4,1,1
beyler_ev_yagmasi_boyu,Beyler (Ev Yağması Boyu),grup,1,1,0,1
beyler_uruz_kurtarma_boyu,Beyler (Uruz Kurtarma Boyu),grup,4,4,0,1
beyler_uruz_tutsak_boyu,Beyler (Uruz Tutsak Boyu),grup,2,2,0,1
beyler_ve_beyrek,Beyler ve Beyrek,grup,1,1,0,1
beyrek_solen_yemegini_doktu,Beyrek Şölen Yemeğini Döktü,kişi,1,0,1,1
beyrekin_40_adami,Beyrek'in 40 Adamı,grup,1,1,0,1
beyrekin_40_yigidi,Beyrek'in 40 Yiğidi,grup,3,3,0,2
beyrek_in_40_yoldaslari,Beyrek'in 40 Yoldaşları,grup,1,1,0,1
beyrekin_adamlari,Beyrek'in Adamları,grup,1,1,0,1
beyrekin_ailesi,Beyrek'in Ailesi,kişi,1,0,1,1
beyrekin_anne_babasi,Beyrek'in Anne Babası,grup,2,2,0,2
beyrekin_buyuk_kiz_kardesi,Beyrek'in Büyük Kız Kardeşi,kişi,2,2,0,1
beyrekin_kayin_babasi_kara_gone,"Beyrek'in Kayın Babası, Kara Göne",kişi,1,1,0,1
beyrekin_kucuk_kiz_kardesi,Beyrek'in Küçük Kız Kardeşi,kişi,1,1,0,1
beyrekin_yedi_kiz_kardesi,Beyrek'in Yedi Kız Kardeşi,kişi,1,1,0,1
beyrekin_yoldaslari,Beyrek'in Yoldaşları,grup,1,1,0,1
beyrek_yigenek_kazan_kara_budak_deli_dundar_uruz,"Beyrek, Yigenek, Kazan, Kara Budak, Deli Dündar, Uruz",kişi,1,0,1,1
bezirganlar,Bezirganlar,grup,9,7,2,1
bezirganlarin_buyugu_pay_purenin_oglu,Bezirganların Büyüğü Pay Püre'nin Oğlu,grup,1,0,1,1
boyu_uzun_burla_hatun_ve_40_ince_belli_kiz,Boyu Uzun Burla Hatun ve 40 Ince Belli Kız,grup,1,1,0,1
boga,Boğa,hayvan,1,1,0,1
bogayi_getiren_kafirler,Boğayı Getiren Kafirler,grup,1,0,1,1
bogazca_fatma,Boğazça Fatma,kişi,2,2,0,1
bogac,Boğaç,kişi,6,6,0,1
bogac_han,Boğaç Han,kişi,2,2,0,1
bogac_ve_bogacin_40_adami,Boğaç ve Boğaç'ın 40 Adamı,grup,1,1,0,1
bogacin_40_adami,Boğaç'ın 40 Adamı,grup,1,1,0,1
bogacuk_melik,Boğaçuk Melik,kişi,1,1,0,1
burla_hatun,Burla Hatun,kişi,14,13,1,3
bugacuk_melik,Buğaçuk Melik,kişi,1,1,0,1
