kayit_id,boy,source_file,aktor,aktor_id,aktor_tipi,hedef,hedef_id,hedef_tipi,event_turu,not,ham_satir,kaynak_notu
DKR0009,Dirse Han Oglu boğaç Han Boyu,02_dirse_han_oglu_bogac_han_boyu.csv,Dirse Han,dirse_han,kişi,,,,otorite/emir,Emir - yemek,Dirse Han (Emir - yemek),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0117,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,Bezirganların Büyüğü Pay Püre'nin Oğlu,bezirganlarin_buyugu_pay_purenin_oglu,grup,,,,destek/yardım,yardım isteme,bezirganların büyüğü pay püre'nin oğlu (yardım isteme),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0133,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,Deli Karçar,deli_karcar,kişi,,,,akrabalık,banu çiçek'in abisi,deli karçar (banu çiçek'in abisi),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0153,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,Bamsı'nın Kız Kardeşleri,bamsinin_kiz_kardesleri,grup,,,,duygusal_tepki,yas tutma,bamsı'nın kız kardeşleri (yas tutma),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0154,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,Banu Çiçek,banu_cicek,kişi,,,,duygusal_tepki,yas tutma,banu çiçek (yas tutma),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0157,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,Bamsı'nın 40 Yiğidi,bamsinin_40_yigidi,grup,,,,duygusal_tepki,yas tutma,bamsı'nın 40 yiğidi (yas tutma),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0158,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,Oğuz Beyleri,oguz_beyleri,grup,,,,duygusal_tepki,yas tutma,oğuz beyleri (yas tutma),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0164,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,Banu Çiçek,banu_cicek,kişi,,,,duygusal_tepki,gömleği görünce ağlama yas tutma,banu çiçek (gömleği görünce ağlama yas tutma),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0192,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,Bamsı Beyrek,bamsi_beyrek,kişi,Bamsı Beyrek,bamsi_beyrek,kişi,duygusal_tepki,Beyrek yayı gelince yoldaşlarını anıp hüzünlenir.,beyrek'in yayı geldiğinde - beyrek (yoldaşlarını anıp - hüzünlendi),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0201,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,Beyrek Şölen Yemeğini Döktü,beyrek_solen_yemegini_doktu,kişi,,,,tanımlama,aksiyon,beyrek şölen yemeğini döktü (aksiyon),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0204,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,Bamsı Beyrek,bamsi_beyrek,kişi,,,,hareket/eylem,"Beyrek kızların yanına varır; şurnaçıları ve nakaraçıları kovar, döver.","beyrek kızların yanına vardı; şurnaçları kovdu, nakaraçıları kovdu, dövdü, başını yardı (aksiyon)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
DKR0217,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,Banu Çiçek,banu_cicek,kişi,,,,tanımlama,ere varan kız benim diyip oynamaya başladı,banu çiçek (ere varan kız benim diyip oynamaya başladı),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı
