kayit_id,satir_no,boy,bolum_tipi,karakter_1,karakter_1_id,karakter_1_tipi,karakter_2,karakter_2_id,karakter_2_tipi,iliski_ham,iliski_turu,katman,agirlik,kutupluluk,yonluluk,cikarma_yontemi,not,ham_satir,kaynak_notu,source_file
DKR0003,6.0,Dirse Han Oglu boğaç Han Boyu,boy,Bayındır Han,bayindir_han,kişi,Kam Gan,kam_gan,kişi,oğlu,akrabalık,akrabalık,5,pozitif,yönsüz,çıkarımsal_akrabalık,hanlar hanı,Kam Gan oğlu bayındır han - hanlar hanı,ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0006,9.0,Dirse Han Oglu boğaç Han Boyu,boy,Dirse Han,dirse_han,kişi,Bayındır Han'ın Adamları,bayindir_hanin_adamlari,grup,diy0,diyalog_nötr,iletişim,2,nötr,yönlü,açık_ilişki,diy0,Dirse Han - bayındır han'ın adamları (diy0),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0007,10.0,Dirse Han Oglu boğaç Han Boyu,boy,Dirse Han,dirse_han,kişi,Dirse Han'ın Karısı,dirse_hanin_karisi,kişi,diy0,diyalog_nötr,iletişim,2,nötr,yönlü,açık_ilişki,diy0,Dirse Han - Dirse han'ın Karısı (diy0),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0008,11.0,Dirse Han Oglu boğaç Han Boyu,boy,Dirse Han'ın Karısı,dirse_hanin_karisi,kişi,Dirse Han,dirse_han,kişi,diy0,diyalog_nötr,iletişim,2,nötr,yönlü,açık_ilişki,diy0,Dirse Han'ın Karısı - Dirse Han (diy0),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0013,16.0,Dirse Han Oglu boğaç Han Boyu,boy,Boğaç Han,bogac_han,kişi,Dirse Han,dirse_han,kişi,oğlu,akrabalık,akrabalık,5,pozitif,yönsüz,çıkarımsal_akrabalık,,Dirse han oğlu boğaç han,ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0016,19.0,Dirse Han Oglu boğaç Han Boyu,boy,Dirse Han'ın 40 Adamı,dirse_hanin_40_adami,grup,Dirse Han,dirse_han,kişi,diy - 2 kez iftira,diyalog_olumsuz,iletişim,3,negatif,yönlü,açık_ilişki,diy - 2 kez iftira,Dirse Han'ın 40 adamı - dirse (diy - 2 kez iftira),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0017,20.0,Dirse Han Oglu boğaç Han Boyu,boy,Dirse Han'ın 40 Adamı,dirse_hanin_40_adami,grup,Dirse Han,dirse_han,kişi,ikna,ikna/müzakere,iletişim,3,karışık,yönlü,açık_ilişki,ikna,Dirse han'ın 40 adamı - dirse (ikna),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0018,21.0,Dirse Han Oglu boğaç Han Boyu,boy,Dirse Han,dirse_han,kişi,Oğlu ve 40 Adamı,oglu_ve_40_adami,grup,emir - av,otorite/emir,otorite,3,nötr,yönlü,açık_ilişki,emir - av,Dirse - oğlu ve 40 adamı (emir - av),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0019,22.0,Dirse Han Oglu boğaç Han Boyu,boy,Dirse Han'ın 40 Adamı,dirse_hanin_40_adami,grup,Boğaç Han,bogac_han,kişi,tuzağa çekme,gerilim,çatışma,4,negatif,yönsüz,açık_ilişki,tuzağa çekme,Dirse'nin 40 adamı - boğaç han (tuzağa çekme),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0020,23.0,Dirse Han Oglu boğaç Han Boyu,boy,Dirse Han'ın 40 Adamı,dirse_hanin_40_adami,grup,Dirse Han,dirse_han,kişi,ikna - boğaç'ı öldür,ikna/müzakere,iletişim,3,karışık,yönlü,açık_ilişki,ikna - boğaç'ı öldür,Dirse'nin 40 adamı - dirse (ikna - boğaç'ı öldür),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0021,24.0,Dirse Han Oglu boğaç Han Boyu,boy,Dirse Han'ın Karısı,dirse_hanin_karisi,kişi,Dirse Han,dirse_han,kişi,diy0,diyalog_nötr,iletişim,2,nötr,yönlü,açık_ilişki,diy0,Dirse'nin karısı - dirse (diy0),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0022,25.0,Dirse Han Oglu boğaç Han Boyu,boy,Dirse Han'ın 40 Adamı,dirse_hanin_40_adami,grup,Dirse Han,dirse_han,kişi,ikna - obaya dön,ikna/müzakere,iletişim,3,karışık,yönlü,açık_ilişki,ikna - obaya dön,Dirse'nin 40 adamı - Dirse (ikna - obaya dön),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0023,26.0,Dirse Han Oglu boğaç Han Boyu,boy,Dirse Han'ın 40 Adamı,dirse_hanin_40_adami,grup,Dirse Han'ın Karısı,dirse_hanin_karisi,kişi,ikna - Boğaç avda,ikna/müzakere,iletişim,3,karışık,yönlü,açık_ilişki,ikna - Boğaç avda,Dirse'nin 40 adamı - dirse'nin karısı (ikna - Boğaç avda),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0024,27.0,Dirse Han Oglu boğaç Han Boyu,boy,Dirse Han'ın Karısı,dirse_hanin_karisi,kişi,40 Ince Belli Kız,40_ince_belli_kiz,kişi,emir - boğaç'ı bulun,otorite/emir,otorite,3,nötr,yönlü,açık_ilişki,emir - boğaç'ı bulun,Dirse'nin karısı - 40 ince belli kız (emir - boğaç'ı bulun),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0026,29.0,Dirse Han Oglu boğaç Han Boyu,boy,Hızır,hizir,mitolojik/ilahi,Boğaç,bogac,kişi,diy+ şifanın yolu,diyalog_olumlu,iletişim,3,pozitif,yönlü,açık_ilişki,diy+ şifanın yolu,Hızır - boğaç (diy+ şifanın yolu),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0027,30.0,Dirse Han Oglu boğaç Han Boyu,boy,Dirse Han'ın Karısı,dirse_hanin_karisi,kişi,Boğaç,bogac,kişi,diy0,diyalog_nötr,iletişim,2,nötr,yönlü,açık_ilişki,diy0,Dirse'nin karısı - boğaç (diy0),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0028,31.0,Dirse Han Oglu boğaç Han Boyu,boy,Boğaç,bogac,kişi,Hekimler,hekimler,grup,iyileştirme,destek/yardım,olay,4,pozitif,yönlü,açık_ilişki,iyileştirme,boğaç - hekimler (iyileştirme),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0030,33.0,Dirse Han Oglu boğaç Han Boyu,boy,Dirse Han'ın 40 Adamı,dirse_hanin_40_adami,grup,Dirse Han,dirse_han,kişi,çatışma - dirse esir alındı,çatışma,çatışma,5,negatif,yönsüz,açık_ilişki,çatışma - dirse esir alındı,dirse'nin 40 adamı - dirse (çatışma - dirse esir alındı),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0031,34.0,Dirse Han Oglu boğaç Han Boyu,boy,Dirse Han'ın Karısı,dirse_hanin_karisi,kişi,Boğaç,bogac,kişi,ikna babanı kurtar,ikna/müzakere,iletişim,3,karışık,yönlü,açık_ilişki,ikna babanı kurtar,Dirse'nin karısı - boğaç (ikna babanı kurtar),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0032,35.0,Dirse Han Oglu boğaç Han Boyu,boy,Boğaç,bogac,kişi,Boğaç'ın 40 Adamı,bogacin_40_adami,grup,hareket,hareket/eylem,olay,2,nötr,yönlü,açık_ilişki,hareket,Boğaç - boğaç'ın 40 adamı (hareket),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0033,36.0,Dirse Han Oglu boğaç Han Boyu,boy,Dire,dire,kişi,Dirse Han'ın 40 Adamı,dirse_hanin_40_adami,grup,ikna - boğaç'a karşı savaş,ikna/müzakere,iletişim,3,karışık,yönlü,açık_ilişki,ikna - boğaç'a karşı savaş,Dire - dirse'nin 40 adamı (ikna - boğaç'a karşı savaş),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
DKR0034,37.0,Dirse Han Oglu boğaç Han Boyu,boy,Dirse Han,dirse_han,kişi,Boğaç,bogac,kişi,diy+,diyalog_olumlu,iletişim,3,pozitif,yönlü,açık_ilişki,diy+,dirse - boğaç (diy+),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,02_dirse_han_oglu_bogac_han_boyu.csv
