kayit_id,satir_no,boy,bolum_tipi,karakter_1,karakter_1_id,karakter_1_tipi,karakter_2,karakter_2_id,karakter_2_tipi,iliski_ham,iliski_turu,katman,agirlik,kutupluluk,yonluluk,cikarma_yontemi,not,ham_satir,kaynak_notu,source_file
DKR0104,111.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Bayındır Han,bayindir_han,kişi,Kam Gan,kam_gan,kişi,oğlu,akrabalık,akrabalık,5,pozitif,yönsüz,çıkarımsal_akrabalık,,kam gan oğlu bayındır han,ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
DKR0107,114.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Bayındır Han,bayindir_han,kişi,"Iç Oğuz Beyleri, Dış Oğuz Beyleri, Pay Püre Bey, Kara Budak, Uruz, Bey Yigenek, Salur Kazan, Pay Biçen",ic_oguz_beyleri_dis_oguz_beyleri_pay_pure_bey_kara_budak_uruz_bey_yigenek_salur_kazan_pay_bicen,grup,toy yemek,tören/ritüel,olay,2,pozitif,yönlü,açık_ilişki,toy yemek,"bayındır han - iç oğuz beyleri, dış oğuz beyleri, pay püre bey, kara budak, uruz, bey yigenek, salur kazan, pay biçen (toy yemek)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
DKR0110,117.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Salur Kazan,salur_kazan,kişi,Bayındır Han,bayindir_han,kişi,bayındır han'ın damadı,akrabalık,akrabalık,5,pozitif,yönsüz,açık_ilişki,bayındır han'ın damadı,salur kazan - bayındır han (bayındır han'ın damadı),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
DKR0111,118.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Salur Kazan,salur_kazan,kişi,Pay Püre,pay_pure,kişi,diy0 x 3 çocuğu yok,diyalog_nötr,iletişim,2,nötr,yönlü,açık_ilişki,diy0 x 3 çocuğu yok,salur kazan - pay püre (diy0 x 3 çocuğu yok),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
DKR0112,119.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Pay Piçen Bey,pay_picen_bey,kişi,Beyler (Bamsı Beyrek Boyu),beyler_bamsi_beyrek_boyu,grup,,ikna/müzakere,iletişim,3,nötr,yönlü,açık_ilişki,"Pay Piçen Bey, kız çocuğu için dua etmelerini ister.",pay piçen bey - beyler (diy0 ; kız çocuğum olsun diye dua edin; kızım olursa,ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
DKR0114,121.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Pay Püre Bey,pay_pure_bey,kişi,Bezirganlar,bezirganlar,grup,emir oğluma hediyeler alın,akrabalık,akrabalık,5,pozitif,yönsüz,açık_ilişki,emir oğluma hediyeler alın,pay püre bey - bezirganlar (emir oğluma hediyeler alın),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
DKR0115,122.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Pay Püre'nin Oğlu,pay_purenin_oglu,kişi,Imrahor,imrahor,kişi,konuk ağırlamak,ödül/değişim,otorite,3,pozitif,yönlü,açık_ilişki,konuk ağırlamak,pay püre'nin oğlu - imrahor (konuk ağırlamak),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
DKR0116,123.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Evnük Kalesi Kafirleri,evnuk_kalesi_kafirleri,grup,Bezirganlar,bezirganlar,grup,çatışma,çatışma,çatışma,5,negatif,yönsüz,açık_ilişki,çatışma,evnük kalesi kafirleri - bezirganlar (çatışma),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
DKR0118,125.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Pay Püre'nin Oğlu,pay_purenin_oglu,kişi,Evnük Kalesi Kafirleri,evnuk_kalesi_kafirleri,grup,çatışma,çatışma,çatışma,5,negatif,yönsüz,açık_ilişki,çatışma,pay püre'nin oğlu - evnük kalesi kafirleri (çatışma),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
DKR0119,126.0,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,boy,Bezirganlar,bezirganlar,grup,Bamsı Beyrek,bamsi_beyrek,kişi,diy+ istediğini al ödül olarak,diyalog_olumlu,iletişim,3,pozitif,yönlü,açık_ilişki,diy+ istediğini al ödül olarak,bezirganlar - bamsı beyrek (diy+ istediğini al ödül olarak),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv
