kayit_id,satir_no,boy,bolum_tipi,karakter_1,karakter_1_id,karakter_1_tipi,karakter_2,karakter_2_id,karakter_2_tipi,iliski_ham,iliski_turu,katman,agirlik,kutupluluk,yonluluk,cikarma_yontemi,not,ham_satir,kaynak_notu,source_file
DKR0249,258.0,Kazan Bey Oğlu Uruz Bey'in Tutsak Olduğu Boy,boy,Salur Kazan,salur_kazan,kişi,Ulaş,ulas,kişi,oğlu,akrabalık,akrabalık,5,pozitif,yönsüz,çıkarımsal_akrabalık,,ulaş oğlu kazan bey,ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv
DKR0250,259.0,Kazan Bey Oğlu Uruz Bey'in Tutsak Olduğu Boy,boy,Salur Kazan,salur_kazan,kişi,Doksan Tümen Oğuz,doksan_tumen_oguz,grup,ikramda bulunma toy,ödül/değişim,otorite,3,pozitif,yönlü,açık_ilişki,ikramda bulunma toy,kazan bey - doksan tümen oğuz (ikramda bulunma toy),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv
DKR0252,261.0,Kazan Bey Oğlu Uruz Bey'in Tutsak Olduğu Boy,boy,Salur Kazan,salur_kazan,kişi,Çevresine Hediyeler Dağıtıyor,cevresine_hediyeler_dagitiyor,grup,çadırlar ve develer,belirsiz,olay,1,nötr,yönlü,açık_ilişki,çadırlar ve develer,salur kazan - çevresine hediyeler dağıtıyor (çadırlar ve develer),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv
DKR0254,263.0,Kazan Bey Oğlu Uruz Bey'in Tutsak Olduğu Boy,boy,Salur Kazan,salur_kazan,kişi,Kara Göne,kara_gone,kişi,diy+,diyalog_olumlu,iletişim,3,pozitif,yönlü,açık_ilişki,diy+,kazan - kara göne (diy+),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv
DKR0255,264.0,Kazan Bey Oğlu Uruz Bey'in Tutsak Olduğu Boy,boy,Salur Kazan,salur_kazan,kişi,At Ağızlı Aruz,at_agizli_aruz,kişi,diy+,diyalog_olumlu,iletişim,3,pozitif,yönlü,açık_ilişki,diy+,kazan - at ağızlı aruz (diy+),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv
DKR0256,265.0,Kazan Bey Oğlu Uruz Bey'in Tutsak Olduğu Boy,boy,Salur Kazan,salur_kazan,kişi,Uruz,uruz,kişi,diy -,diyalog_olumsuz,iletişim,3,negatif,yönlü,açık_ilişki,diy -,kazan - uruz (diy - ),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv
DKR0257,266.0,Kazan Bey Oğlu Uruz Bey'in Tutsak Olduğu Boy,boy,Uruz,uruz,kişi,Salur Kazan,salur_kazan,kişi,diy0; neden üzüldüğünü sorar,diyalog_nötr,iletişim,2,nötr,yönlü,açık_ilişki,diy0; neden üzüldüğünü sorar,uruz - kazan (diy0; neden üzüldüğünü sorar),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv
DKR0258,267.0,Kazan Bey Oğlu Uruz Bey'in Tutsak Olduğu Boy,boy,Salur Kazan,salur_kazan,kişi,Uruz,uruz,kişi,diy - ; oğlunun tecrübesiz olduğuna üzüldüğünü iletir,akrabalık,akrabalık,5,pozitif,yönsüz,açık_ilişki,diy - ; oğlunun tecrübesiz olduğuna üzüldüğünü iletir,kazan - uruz (diy - ; oğlunun tecrübesiz olduğuna üzüldüğünü iletir),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv
DKR0259,268.0,Kazan Bey Oğlu Uruz Bey'in Tutsak Olduğu Boy,boy,Uruz,uruz,kişi,Salur Kazan,salur_kazan,kişi,ikna; oğul hüneri babadan öğrenir,ikna/müzakere,iletişim,3,karışık,yönlü,açık_ilişki,ikna; oğul hüneri babadan öğrenir,uruz - kazan (ikna; oğul hüneri babadan öğrenir),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv
DKR0260,269.0,Kazan Bey Oğlu Uruz Bey'in Tutsak Olduğu Boy,boy,Salur Kazan,salur_kazan,kişi,Beyler (Uruz Tutsak Boyu),beyler_uruz_tutsak_boyu,grup,emir; ziyafete devam edin,otorite/emir,otorite,3,nötr,yönlü,açık_ilişki,emir; ziyafete devam edin,kazan - beyler (emir; ziyafete devam edin),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv
