kayit_id,satir_no,boy,bolum_tipi,karakter_1,karakter_1_id,karakter_1_tipi,karakter_2,karakter_2_id,karakter_2_tipi,iliski_ham,iliski_turu,katman,agirlik,kutupluluk,yonluluk,cikarma_yontemi,not,ham_satir,kaynak_notu,source_file
DKR0298,309.0,Duha Koca Oğlu Deli Dumrul,boy,Deli Dumrul,deli_dumrul,kişi,Duha Koca,duha_koca,kişi,oğlu,akrabalık,akrabalık,5,pozitif,yönsüz,çıkarımsal_akrabalık,,duha koca oğlu deli dumrul,ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,06_duha_koca_oglu_deli_dumrul.csv
DKR0300,311.0,Duha Koca Oğlu Deli Dumrul,boy,Deli Dumrul,deli_dumrul,kişi,Oba,oba,grup,diy0; neden ağlarsınız,diyalog_nötr,iletişim,2,nötr,yönlü,açık_ilişki,diy0; neden ağlarsınız,deli dumrul - oba (diy0; neden ağlarsınız),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,06_duha_koca_oglu_deli_dumrul.csv
DKR0302,313.0,Duha Koca Oğlu Deli Dumrul,boy,Tanrı,tanri,mitolojik/ilahi,Deli Dumrul,deli_dumrul,kişi,hasımlık,çatışma,çatışma,5,negatif,yönsüz,açık_ilişki,hasımlık,tanrı - deli dumrul (hasımlık),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,06_duha_koca_oglu_deli_dumrul.csv
DKR0303,314.0,Duha Koca Oğlu Deli Dumrul,boy,Tanrı,tanri,mitolojik/ilahi,Azrail,azrail,mitolojik/ilahi,emir; deli dumrul'un canını al,otorite/emir,otorite,3,nötr,yönlü,açık_ilişki,emir; deli dumrul'un canını al,tanrı - azrail (emir; deli dumrul'un canını al),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,06_duha_koca_oglu_deli_dumrul.csv
DKR0304,315.0,Duha Koca Oğlu Deli Dumrul,boy,Deli Dumrul,deli_dumrul,kişi,40 Yiğit,40_yigit,grup,"yiyip, içme, oturma",belirsiz,olay,1,nötr,yönlü,açık_ilişki,"yiyip, içme, oturma","deli dumrul - 40 yiğit (yiyip, içme, oturma)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,06_duha_koca_oglu_deli_dumrul.csv
DKR0305,316.0,Duha Koca Oğlu Deli Dumrul,boy,Deli Dumrul,deli_dumrul,kişi,Azrail,azrail,mitolojik/ilahi,diy - ; çatışma,çatışma,çatışma,5,negatif,yönsüz,açık_ilişki,diy - ; çatışma,deli dumrul - azrail (diy - ; çatışma),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,06_duha_koca_oglu_deli_dumrul.csv
DKR0306,317.0,Duha Koca Oğlu Deli Dumrul,boy,Deli Durmrul,deli_durmrul,kişi,Dumrul'un 40 Adamı,dumrulun_40_adami,grup,diy+; azraili korkuttum,diyalog_olumlu,iletişim,3,pozitif,yönlü,açık_ilişki,diy+; azraili korkuttum,deli durmrul - dumrul'un 40 adamı (diy+; azraili korkuttum),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,06_duha_koca_oglu_deli_dumrul.csv
DKR0307,318.0,Duha Koca Oğlu Deli Dumrul,boy,Deli Dumrul,deli_dumrul,kişi,Azrail,azrail,mitolojik/ilahi,azrail kuş oldu; dumrul doğanına yakalatmaya çalıştı,belirsiz,olay,1,nötr,yönlü,açık_ilişki,azrail kuş oldu; dumrul doğanına yakalatmaya çalıştı,deli dumrul - azrail (azrail kuş oldu; dumrul doğanına yakalatmaya çalıştı),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,06_duha_koca_oglu_deli_dumrul.csv
DKR0308,319.0,Duha Koca Oğlu Deli Dumrul,boy,Deli Dumrul,deli_dumrul,kişi,Azrail,azrail,mitolojik/ilahi,azrailden medet istiyor,belirsiz,olay,1,nötr,yönlü,açık_ilişki,azrailden medet istiyor,deli dumrul - azrail (azrailden medet istiyor),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,06_duha_koca_oglu_deli_dumrul.csv
DKR0309,320.0,Duha Koca Oğlu Deli Dumrul,boy,Deli Dumrul,deli_dumrul,kişi,Tanrı,tanri,mitolojik/ilahi,dua - ikna; canımı bağışla; diy+,diyalog_olumlu,iletişim,3,pozitif,yönlü,açık_ilişki,dua - ikna; canımı bağışla; diy+,deli dumrul - Tanrı (dua - ikna; canımı bağışla; diy+),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,06_duha_koca_oglu_deli_dumrul.csv
