kayit_id,satir_no,boy,bolum_tipi,karakter_1,karakter_1_id,karakter_1_tipi,karakter_2,karakter_2_id,karakter_2_tipi,iliski_ham,iliski_turu,katman,agirlik,kutupluluk,yonluluk,cikarma_yontemi,not,ham_satir,kaynak_notu,source_file
DKR0324,337.0,Kanlı Koca Oğlu Kan Turalı Boyu,boy,Kan Turalı,kan_turali,kişi,Kanlı Koca,kanli_koca,kişi,oğlu,akrabalık,akrabalık,5,pozitif,yönsüz,çıkarımsal_akrabalık,,kanlı koca oğlu kan turalı,ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,07_kanli_koca_oglu_kan_turali_boyu.csv
DKR0325,338.0,Kanlı Koca Oğlu Kan Turalı Boyu,boy,Kanlı Koca,kanli_koca,kişi,Kan Turalı,kan_turali,kişi,diy+; kan turalı nasıl kız aradığını anlatıyor,diyalog_olumlu,iletişim,3,pozitif,yönlü,açık_ilişki,diy+; kan turalı nasıl kız aradığını anlatıyor,kanlı koca - kan turalı (diy+; kan turalı nasıl kız aradığını anlatıyor),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,07_kanli_koca_oglu_kan_turali_boyu.csv
DKR0326,339.0,Kanlı Koca Oğlu Kan Turalı Boyu,boy,Kanlı Koca,kanli_koca,kişi,Kan Turalı,kan_turali,kişi,diy+; kız bulmak senden; mal rızık benden,diyalog_olumlu,iletişim,3,pozitif,yönlü,açık_ilişki,diy+; kız bulmak senden; mal rızık benden,kanlı koca - kan turalı (diy+; kız bulmak senden; mal rızık benden),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,07_kanli_koca_oglu_kan_turali_boyu.csv
DKR0327,340.0,Kanlı Koca Oğlu Kan Turalı Boyu,boy,Kan Turalı,kan_turali,kişi,Kan Turalının 40 Adamı,kan_turalinin_40_adami,grup,"hareket, bilrikte iç oğuzu gezdiler",hareket/eylem,olay,2,nötr,yönlü,açık_ilişki,"hareket, bilrikte iç oğuzu gezdiler","kan turalı - kan turalının 40 adamı (hareket, bilrikte iç oğuzu gezdiler)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,07_kanli_koca_oglu_kan_turali_boyu.csv
DKR0328,341.0,Kanlı Koca Oğlu Kan Turalı Boyu,boy,Kanlı Koca,kanli_koca,kişi,Kan Turalı,kan_turali,kişi,kız öyle aranmaz; sen mala sahip ol; ben kız arayayım,belirsiz,olay,1,nötr,yönlü,açık_ilişki,kız öyle aranmaz; sen mala sahip ol; ben kız arayayım,kanlı koca - kan turalı (kız öyle aranmaz; sen mala sahip ol; ben kız arayayım),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,07_kanli_koca_oglu_kan_turali_boyu.csv
DKR0332,345.0,Kanlı Koca Oğlu Kan Turalı Boyu,boy,Selcen Hatun,selcen_hatun,kişi,Trabzon Tekfuru,trabzon_tekfuru,kişi,kızı,akrabalık,akrabalık,5,pozitif,yönsüz,çıkarımsal_akrabalık,,trabzon tekfurunun kızı selcen hatun,ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,07_kanli_koca_oglu_kan_turali_boyu.csv
DKR0337,350.0,Kanlı Koca Oğlu Kan Turalı Boyu,boy,Kan Turalı,kan_turali,kişi,Kanlı Koca,kanli_koca,kişi,bana kız buldun mu,belirsiz,olay,1,nötr,yönlü,açık_ilişki,bana kız buldun mu,kan turalı - kanlı koca (bana kız buldun mu),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,07_kanli_koca_oglu_kan_turali_boyu.csv
DKR0338,351.0,Kanlı Koca Oğlu Kan Turalı Boyu,boy,Kanlı Koca,kanli_koca,kişi,Kan Turalı,kan_turali,kişi,buldum ; ama hünerin varsa,belirsiz,olay,1,nötr,yönlü,açık_ilişki,buldum ; ama hünerin varsa,kanlı koca - kan turalı (buldum ; ama hünerin varsa),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,07_kanli_koca_oglu_kan_turali_boyu.csv
DKR0339,352.0,Kanlı Koca Oğlu Kan Turalı Boyu,boy,Kanlı Koca,kanli_koca,kişi,Kan Turalı,kan_turali,kişi,"hüner nedir onu anlatıyor, oğlunun gözünü korkutup bu işten vazgeçmesini istiyor",akrabalık,akrabalık,5,pozitif,yönsüz,açık_ilişki,"hüner nedir onu anlatıyor, oğlunun gözünü korkutup bu işten vazgeçmesini istiyor","kanlı koca - kan turalı (hüner nedir onu anlatıyor, oğlunun gözünü korkutup bu işten vazgeçmesini istiyor)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,07_kanli_koca_oglu_kan_turali_boyu.csv
DKR0340,353.0,Kanlı Koca Oğlu Kan Turalı Boyu,boy,Kan Turalı,kan_turali,kişi,Kanlı Koca,kanli_koca,kişi,ben vazgeçmem; yolun açık olsun,belirsiz,olay,1,nötr,yönlü,açık_ilişki,ben vazgeçmem; yolun açık olsun,kan turalı - kanlı koca (ben vazgeçmem; yolun açık olsun),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,07_kanli_koca_oglu_kan_turali_boyu.csv
