kayit_id,satir_no,boy,bolum_tipi,karakter_1,karakter_1_id,karakter_1_tipi,karakter_2,karakter_2_id,karakter_2_tipi,iliski_ham,iliski_turu,katman,agirlik,kutupluluk,yonluluk,cikarma_yontemi,not,ham_satir,kaynak_notu,source_file
DKR0385,400.0,Kazılık koca oğlu yigenek boyu,boy,Bayındır Han,bayindir_han,kişi,Kam Gan,kam_gan,kişi,oğlu,akrabalık,akrabalık,5,pozitif,yönsüz,çıkarımsal_akrabalık,ziyafet verme,kam gan oğlu bayındır han (ziyafet verme),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,08_kazilik_koca_oglu_yigenek_boyu.csv
DKR0389,404.0,Kazılık koca oğlu yigenek boyu,boy,Yigenek,yigenek,kişi,Kazılık Koca,kazilik_koca,kişi,oğlu,akrabalık,akrabalık,5,pozitif,yönsüz,çıkarımsal_akrabalık,,kazılık koca oğlu yigenek,ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,08_kazilik_koca_oglu_yigenek_boyu.csv
DKR0390,405.0,Kazılık koca oğlu yigenek boyu,boy,Kazılık Koca,kazilik_koca,kişi,Bayındır Han,bayindir_han,kişi,istek; akın dileme,belirsiz,olay,1,nötr,yönlü,açık_ilişki,istek; akın dileme,kazılık koca - bayındır han (istek; akın dileme),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,08_kazilik_koca_oglu_yigenek_boyu.csv
DKR0391,406.0,Kazılık koca oğlu yigenek boyu,boy,Bayındır Han,bayindir_han,kişi,Kazılık Koca,kazilik_koca,kişi,emir; akına izin verme,otorite/emir,otorite,3,nötr,yönlü,açık_ilişki,emir; akına izin verme,bayındır han - kazılık koca (emir; akına izin verme),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,08_kazilik_koca_oglu_yigenek_boyu.csv
DKR0392,407.0,Kazılık koca oğlu yigenek boyu,boy,Kazılık Koca,kazilik_koca,kişi,Yarar Kocalar,yarar_kocalar,kişi,yanına aldı,belirsiz,olay,1,nötr,yönlü,açık_ilişki,yanına aldı,kazılık koca - yarar kocalar (yanına aldı),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,08_kazilik_koca_oglu_yigenek_boyu.csv
DKR0393,408.0,Kazılık koca oğlu yigenek boyu,boy,Direk Tekfur,direk_tekfur,kişi,Düzmürd Kalesi Tekfuru Arşın,duzmurd_kalesi_tekfuru_arsin,kişi,oğlu,akrabalık,akrabalık,5,pozitif,yönsüz,çıkarımsal_akrabalık,,düzmürd kalesi tekfuru arşın oğlu direk tekfur,ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,08_kazilik_koca_oglu_yigenek_boyu.csv
DKR0394,409.0,Kazılık koca oğlu yigenek boyu,boy,Kazılık Koca,kazilik_koca,kişi,Arşın Oğlu Direk Tekfur,arsin_oglu_direk_tekfur,kişi,çatışma,çatışma,çatışma,5,negatif,yönsüz,açık_ilişki,çatışma,kazılık koca - arşın oğlu direk tekfur (çatışma),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,08_kazilik_koca_oglu_yigenek_boyu.csv
DKR0395,410.0,Kazılık koca oğlu yigenek boyu,boy,Arşın Oğlu Direk Tekfur,arsin_oglu_direk_tekfur,kişi,Kazılık Koca,kazilik_koca,kişi,kazılık koca esir,çatışma,çatışma,5,negatif,yönsüz,açık_ilişki,kazılık koca esir,arşın oğlu direk tekfur - kazılık koca (kazılık koca esir),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,08_kazilik_koca_oglu_yigenek_boyu.csv
DKR0397,412.0,Kazılık koca oğlu yigenek boyu,boy,Kara Budak,kara_budak,kişi,Yigenek,yigenek,kişi,atışma - laf yapma baban 16 yıldır tutsak git onu kurtar,destek/yardım,olay,4,pozitif,yönlü,açık_ilişki,atışma - laf yapma baban 16 yıldır tutsak git onu kurtar,kara budak - yigenek (atışma - laf yapma baban 16 yıldır tutsak git onu kurtar),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,08_kazilik_koca_oglu_yigenek_boyu.csv
DKR0398,413.0,Kazılık koca oğlu yigenek boyu,boy,Kara Budak,kara_budak,kişi,Kara Göne,kara_gone,kişi,oğlu,akrabalık,akrabalık,5,pozitif,yönsüz,çıkarımsal_akrabalık,,kara göne oğlu kara budak,ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,08_kazilik_koca_oglu_yigenek_boyu.csv
DKR0399,414.0,Kazılık koca oğlu yigenek boyu,boy,Yigenek,yigenek,kişi,Bayındır Han,bayindir_han,kişi,ikna; bana asker ver babamı kurtarayım,ikna/müzakere,iletişim,3,karışık,yönlü,açık_ilişki,ikna; bana asker ver babamı kurtarayım,yigenek - bayındır han (ikna; bana asker ver babamı kurtarayım),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,08_kazilik_koca_oglu_yigenek_boyu.csv
DKR0400,415.0,Kazılık koca oğlu yigenek boyu,boy,Bayındır Han,bayindir_han,kişi,Yigenek,yigenek,kişi,"emir; 24 sancak beyi gelsin, kıyan selçuk oğlu deli dündar seninle gelsin, eylik koca oğlu dülek evren seninle gelsin, yağrınçı oğlu ilalmış seninle gelsin, tosun rüstem seninle gelsin, deli evren seninle gelsin, soğan sarı seninle gelsin",akrabalık,akrabalık,5,pozitif,yönsüz,açık_ilişki,"emir; 24 sancak beyi gelsin, kıyan selçuk oğlu deli dündar seninle gelsin, eylik koca oğlu dülek evren seninle gelsin, yağrınçı oğlu ilalmış seninle gelsin, tosun rüstem seninle gelsin, deli evren seninle gelsin, soğan sarı seninle gelsin","bayındır han - yigenek (emir; 24 sancak beyi gelsin, kıyan selçuk oğlu deli dündar seninle gelsin, eylik koca oğlu dülek evren seninle gelsin, yağrınçı oğlu ilalmış seninle gelsin, tosun rüstem seninle gelsin, deli evren seninle gelsin, soğan sarı seninle gelsin)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,08_kazilik_koca_oglu_yigenek_boyu.csv
