kayit_id,satir_no,boy,bolum_tipi,karakter_1,karakter_1_id,karakter_1_tipi,karakter_2,karakter_2_id,karakter_2_tipi,iliski_ham,iliski_turu,katman,agirlik,kutupluluk,yonluluk,cikarma_yontemi,not,ham_satir,kaynak_notu,source_file
DKR0417,434.0,Basat'ın Tepegözü Öldürdüğü Boy,boy,Basat,basat,kişi,Aruz Koca,aruz_koca,kişi,oğlu,akrabalık,akrabalık,5,pozitif,yönsüz,çıkarımsal_akrabalık,,aruz koca oğlu basat,ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,09_basatin_tepegozu_oldurdugu_boy.csv
DKR0419,436.0,Basat'ın Tepegözü Öldürdüğü Boy,boy,Aslan,aslan,hayvan,Basat,basat,kişi,aslan basat'ı besliyor,belirsiz,olay,1,nötr,yönlü,açık_ilişki,aslan basat'ı besliyor,aslan - basat (aslan basat'ı besliyor),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,09_basatin_tepegozu_oldurdugu_boy.csv
DKR0420,437.0,Basat'ın Tepegözü Öldürdüğü Boy,boy,Oğuz Han'ın Lıkçısı,oguz_hanin_likcisi,kişi,Oğuz Han,oguz_han,kişi,"sazdan bir aslan çıkıyor, hayvanları korkutuyor",diyalog_nötr,iletişim,2,nötr,yönlü,açık_ilişki,"sazdan bir aslan çıkıyor, hayvanları korkutuyor","oğuz han'ın lıkçısı - oğuz han (sazdan bir aslan çıkıyor, hayvanları korkutuyor)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,09_basatin_tepegozu_oldurdugu_boy.csv
DKR0421,438.0,Basat'ın Tepegözü Öldürdüğü Boy,boy,Aruz,aruz,kişi,Oğuz Han,oguz_han,kişi,bu benim düşen oğlum olabilir,akrabalık,akrabalık,5,pozitif,yönsüz,açık_ilişki,bu benim düşen oğlum olabilir,aruz - oğuz han (bu benim düşen oğlum olabilir),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,09_basatin_tepegozu_oldurdugu_boy.csv
DKR0422,439.0,Basat'ın Tepegözü Öldürdüğü Boy,boy,Beyler (Basat Boyu),beyler_basat_boyu,grup,Aslan Yatağı,aslan_yatagi,nesne/doğa,beyler aslanı tutup basatı aldılar,belirsiz,olay,1,nötr,yönlü,açık_ilişki,beyler aslanı tutup basatı aldılar,beyler - aslan yatağı (beyler aslanı tutup basatı aldılar),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,09_basatin_tepegozu_oldurdugu_boy.csv
DKR0423,440.0,Basat'ın Tepegözü Öldürdüğü Boy,boy,Aruz,aruz,kişi,Basat,basat,kişi,basatı eve getirdi,belirsiz,olay,1,nötr,yönlü,açık_ilişki,basatı eve getirdi,aruz - basat (basatı eve getirdi),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,09_basatin_tepegozu_oldurdugu_boy.csv
DKR0426,443.0,Basat'ın Tepegözü Öldürdüğü Boy,boy,Dede Korkut,dede_korkut,kişi,Basat,basat,kişi,"oğlum sen insansın, öğüt verme",akrabalık,akrabalık,5,pozitif,yönsüz,açık_ilişki,"oğlum sen insansın, öğüt verme","dede korkut - basat (oğlum sen insansın, öğüt verme)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,09_basatin_tepegozu_oldurdugu_boy.csv
DKR0431,448.0,Basat'ın Tepegözü Öldürdüğü Boy,boy,Sarı Çoban,sari_coban,kişi,Peri,peri,kişi,"periyi yakalayıp, tecavüz ediyor",hareket/eylem,olay,2,nötr,yönlü,açık_ilişki,"periyi yakalayıp, tecavüz ediyor","sarı çoban - peri (periyi yakalayıp, tecavüz ediyor)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,09_basatin_tepegozu_oldurdugu_boy.csv
DKR0432,449.0,Basat'ın Tepegözü Öldürdüğü Boy,boy,Peri Kızı,peri_kizi,mitolojik/ilahi,Sarı Çoban,sari_coban,kişi,"oğuza kötülük ettin, 1 yıl sonra gel bendeki emanetini al",diyalog_olumsuz,iletişim,2,nötr,yönlü,açık_ilişki,"oğuza kötülük ettin, 1 yıl sonra gel bendeki emanetini al","peri kızı - sarı çoban (oğuza kötülük ettin, 1 yıl sonra gel bendeki emanetini al)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,09_basatin_tepegozu_oldurdugu_boy.csv
DKR0434,451.0,Basat'ın Tepegözü Öldürdüğü Boy,boy,Peri Kızı,peri_kizi,mitolojik/ilahi,Çoban,coban,kişi,gel emanetini al,belirsiz,olay,1,nötr,yönlü,açık_ilişki,gel emanetini al,peri kızı - çoban (gel emanetini al),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,09_basatin_tepegozu_oldurdugu_boy.csv
