kayit_id,satir_no,boy,bolum_tipi,karakter_1,karakter_1_id,karakter_1_tipi,karakter_2,karakter_2_id,karakter_2_tipi,iliski_ham,iliski_turu,katman,agirlik,kutupluluk,yonluluk,cikarma_yontemi,not,ham_satir,kaynak_notu,source_file
DKR0508,527.0,Begil Oğlu Emrenin boyu,boy,Bayındır Han,bayindir_han,kişi,Kam Gan,kam_gan,kişi,oğlu,akrabalık,akrabalık,5,pozitif,yönsüz,çıkarımsal_akrabalık,,kam gan oğlu bayındır han,ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,10_begil_oglu_emrenin_boyu.csv
DKR0514,533.0,Begil Oğlu Emrenin boyu,boy,Dede Korkut,dede_korkut,kişi,Bayındır Han,bayindir_han,kişi,neden saht oldun,belirsiz,olay,1,nötr,yönlü,açık_ilişki,neden saht oldun,dede korkut - bayındır han (neden saht oldun),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,10_begil_oglu_emrenin_boyu.csv
DKR0515,534.0,Begil Oğlu Emrenin boyu,boy,Bayındır Han,bayindir_han,kişi,Dede Korkut,dede_korkut,kişi,,ikna/müzakere,iletişim,3,nötr,yönlü,açık_ilişki,,"bayındır han - dede korkut (her yıl altın, akçe gelirdi beylere dağıtırdık, 1 at 1 kılıç 1 çomak bunları kime verelim de hatırı hoş olsun), danışma",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,10_begil_oglu_emrenin_boyu.csv
DKR0516,535.0,Begil Oğlu Emrenin boyu,boy,Dede Korkut,dede_korkut,kişi,Bayındır Han,bayindir_han,kişi,,ikna/müzakere,iletişim,3,nötr,yönlü,açık_ilişki,,"dede korkut - bayındır han (bu üçünü birine verelim, oğuza karakol olsun) fikir",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,10_begil_oglu_emrenin_boyu.csv
DKR0517,536.0,Begil Oğlu Emrenin boyu,boy,Bayındır Han,bayindir_han,kişi,Meclis,meclis,grup,,ikna/müzakere,iletişim,3,nötr,yönlü,açık_ilişki,,bayındır han - meclise (bunları kime verelim) kimse razı olmadı,ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,10_begil_oglu_emrenin_boyu.csv
DKR0518,537.0,Begil Oğlu Emrenin boyu,boy,Bayındır Han,bayindir_han,kişi,Begil,begil,kişi,hediyeleri sana verelim mi,ödül/değişim,otorite,3,pozitif,yönlü,açık_ilişki,hediyeleri sana verelim mi,bayındır han - begil (hediyeleri sana verelim mi),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,10_begil_oglu_emrenin_boyu.csv
DKR0519,538.0,Begil Oğlu Emrenin boyu,boy,Begil,begil,kişi,Bayındır Han,bayindir_han,kişi,razı oldu yer öptü,belirsiz,olay,1,nötr,yönlü,açık_ilişki,razı oldu yer öptü,begil - bayındır han (razı oldu yer öptü),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,10_begil_oglu_emrenin_boyu.csv
DKR0520,539.0,Begil Oğlu Emrenin boyu,boy,Dede Korkut,dede_korkut,kişi,Begil,begil,kişi,himmet kılıcını beline bağladı,belirsiz,olay,1,nötr,yönlü,açık_ilişki,himmet kılıcını beline bağladı,dede korkut - begil (himmet kılıcını beline bağladı),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,10_begil_oglu_emrenin_boyu.csv
DKR0521,540.0,Begil Oğlu Emrenin boyu,boy,Begil,begil,kişi,Begilin Hısmı ve Kavmi,begilin_hismi_ve_kavmi,grup,oğuzdan göç edip berdeye genceye geldiler,belirsiz,olay,1,nötr,yönlü,açık_ilişki,oğuzdan göç edip berdeye genceye geldiler,begil - begilin hısmı ve kavmi (oğuzdan göç edip berdeye genceye geldiler),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,10_begil_oglu_emrenin_boyu.csv
DKR0524,543.0,Begil Oğlu Emrenin boyu,boy,Bayındır Han,bayindir_han,kişi,Begil Bey,begil_bey,kişi,emir - begil tez gelsin,otorite/emir,otorite,3,nötr,yönlü,açık_ilişki,emir - begil tez gelsin,bayındır han - begil bey (emir - begil tez gelsin),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,10_begil_oglu_emrenin_boyu.csv
