kayit_id,satir_no,boy,bolum_tipi,karakter_1,karakter_1_id,karakter_1_tipi,karakter_2,karakter_2_id,karakter_2_tipi,iliski_ham,iliski_turu,katman,agirlik,kutupluluk,yonluluk,cikarma_yontemi,not,ham_satir,kaynak_notu,source_file
DKR0597,618.0,uşun koca oğlu seyrek boyu,boy,Egrek,egrek,kişi,Uşun Kocanın Büyük,usun_kocanin_buyuk,kişi,oğlu,akrabalık,akrabalık,5,pozitif,yönsüz,çıkarımsal_akrabalık,,uşun kocanın büyük oğlu egrek,ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,11_usun_koca_oglu_seyrek_boyu.csv
DKR0598,619.0,uşun koca oğlu seyrek boyu,boy,Segrek,segrek,kişi,Uşun Kocanın Küçük,usun_kocanin_kucuk,kişi,oğlu,akrabalık,akrabalık,5,pozitif,yönsüz,çıkarımsal_akrabalık,,uşun kocanın küçük oğlu segrek,ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,11_usun_koca_oglu_seyrek_boyu.csv
DKR0600,621.0,uşun koca oğlu seyrek boyu,boy,Ters Uzamış,ters_uzamis,kişi,Egrek,egrek,kişi,"buradaki her yiğit oturduğu yeri kendisi hak etti; sen baş mı kestin, kan mı döktün, aç mı doyurdun, çıplak mı giydirdin",belirsiz,olay,1,nötr,yönlü,açık_ilişki,"buradaki her yiğit oturduğu yeri kendisi hak etti; sen baş mı kestin, kan mı döktün, aç mı doyurdun, çıplak mı giydirdin","ters uzamış - egrek (buradaki her yiğit oturduğu yeri kendisi hak etti; sen baş mı kestin, kan mı döktün, aç mı doyurdun, çıplak mı giydirdin)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,11_usun_koca_oglu_seyrek_boyu.csv
DKR0601,622.0,uşun koca oğlu seyrek boyu,boy,Egrek,egrek,kişi,Ters Uzamış,ters_uzamis,kişi,baş kesip kan dökmek hüner midir,belirsiz,olay,1,nötr,yönlü,açık_ilişki,baş kesip kan dökmek hüner midir,egrek - ters uzamış (baş kesip kan dökmek hüner midir),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,11_usun_koca_oglu_seyrek_boyu.csv
DKR0602,623.0,uşun koca oğlu seyrek boyu,boy,Ters Uzamış,ters_uzamis,kişi,Egrek,egrek,kişi,evet hünerdir,belirsiz,olay,1,nötr,yönlü,açık_ilişki,evet hünerdir,ters uzamış - egrek (evet hünerdir),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,11_usun_koca_oglu_seyrek_boyu.csv
DKR0604,625.0,uşun koca oğlu seyrek boyu,boy,Egrek,egrek,kişi,Salur Kazan,salur_kazan,kişi,akın diledi,belirsiz,olay,1,nötr,yönlü,açık_ilişki,akın diledi,egrek - kazan (akın diledi),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,11_usun_koca_oglu_seyrek_boyu.csv
DKR0605,626.0,uşun koca oğlu seyrek boyu,boy,Salur Kazan,salur_kazan,kişi,Egrek,egrek,kişi,akın verdi,belirsiz,olay,1,nötr,yönlü,açık_ilişki,akın verdi,kazan - egrek (akın verdi),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,11_usun_koca_oglu_seyrek_boyu.csv
DKR0606,627.0,uşun koca oğlu seyrek boyu,boy,Egrek,egrek,kişi,300 Akıncı,300_akinci,kişi,meyhanede yeme içme,belirsiz,olay,1,nötr,yönlü,açık_ilişki,meyhanede yeme içme,egrek - 300 akıncı (meyhanede yeme içme),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,11_usun_koca_oglu_seyrek_boyu.csv
DKR0608,629.0,uşun koca oğlu seyrek boyu,boy,Kara Tekfurun Casusu,kara_tekfurun_casusu,kişi,Kara Tekfur,kara_tekfur,kişi,"oğuzdan 1 bölük adam geldi, saldırın",çatışma,çatışma,5,negatif,yönsüz,açık_ilişki,"oğuzdan 1 bölük adam geldi, saldırın","kara tekfurun casusu - kara tekfur (oğuzdan 1 bölük adam geldi, saldırın)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,11_usun_koca_oglu_seyrek_boyu.csv
DKR0609,630.0,uşun koca oğlu seyrek boyu,boy,600 Kafir,600_kafir,kişi,Egrek ve 300 Akıncı,egrek_ve_300_akinci,grup,"çatışma, egrek esir oldu",çatışma,çatışma,5,negatif,yönsüz,açık_ilişki,"çatışma, egrek esir oldu","600 kafir - egrek ve 300 akıncı (çatışma, egrek esir oldu)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,11_usun_koca_oglu_seyrek_boyu.csv
