kayit_id,satir_no,boy,bolum_tipi,karakter_1,karakter_1_id,karakter_1_tipi,karakter_2,karakter_2_id,karakter_2_tipi,iliski_ham,iliski_turu,katman,agirlik,kutupluluk,yonluluk,cikarma_yontemi,not,ham_satir,kaynak_notu,source_file
DKR0669,692.0,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,boy,Trabzon Tekfuru,trabzon_tekfuru,kişi,Salur Kazan,salur_kazan,kişi,şahin hediyesi verdi,ödül/değişim,otorite,3,pozitif,yönlü,açık_ilişki,şahin hediyesi verdi,trabzon tekfuru - kazan (şahin hediyesi verdi),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv
DKR0671,694.0,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,boy,Salur Kazan,salur_kazan,kişi,Beyler (Uruz Kurtarma Boyu),beyler_uruz_kurtarma_boyu,grup,şahini takip ettiler,belirsiz,olay,1,nötr,yönlü,açık_ilişki,şahini takip ettiler,kazan - beyler (şahini takip ettiler),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv
DKR0672,695.0,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,boy,Salur Kazan,salur_kazan,kişi,Beyler (Uruz Kurtarma Boyu),beyler_uruz_kurtarma_boyu,grup,biraz yatalım - kazano küçücük ölüm tuttu,belirsiz,olay,1,nötr,yönlü,açık_ilişki,biraz yatalım - kazano küçücük ölüm tuttu,kazan - beyler (biraz yatalım - kazano küçücük ölüm tuttu),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv
DKR0674,697.0,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,boy,Tekfurun Casusu,tekfurun_casusu,kişi,Tekfur (Uruz Kurtarma Boyu),tekfur_uruz_kurtarma_boyu,kişi,"kazan ve adamları koruya geldiler, uyudular",belirsiz,olay,1,nötr,yönlü,açık_ilişki,"kazan ve adamları koruya geldiler, uyudular","tekfurun casusu - tekfur (kazan ve adamları koruya geldiler, uyudular)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv
DKR0675,698.0,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,boy,Tekfur (Uruz Kurtarma Boyu),tekfur_uruz_kurtarma_boyu,kişi,Tekfurun Adamları,tekfurun_adamlari,kişi,emir; bunların kim olduğunu öğrenin,otorite/emir,otorite,3,nötr,yönlü,açık_ilişki,emir; bunların kim olduğunu öğrenin,tekfur - tekfurun adamları (emir; bunların kim olduğunu öğrenin),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv
DKR0676,699.0,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,boy,Tekfurun Adamları,tekfurun_adamlari,kişi,Tekfur (Uruz Kurtarma Boyu),tekfur_uruz_kurtarma_boyu,kişi,gelenler oğuzdan,belirsiz,olay,1,nötr,yönlü,açık_ilişki,gelenler oğuzdan,tekfurun adamları - tekfur (gelenler oğuzdan),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv
DKR0677,700.0,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,boy,Tekfur (Uruz Kurtarma Boyu),tekfur_uruz_kurtarma_boyu,kişi,Tekfurun Adamları,tekfurun_adamlari,kişi,kazan ve askerlerinin üzerine yürüdü,belirsiz,olay,1,nötr,yönlü,açık_ilişki,kazan ve askerlerinin üzerine yürüdü,tekfur - tekfurun adamları (kazan ve askerlerinin üzerine yürüdü),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv
DKR0679,702.0,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,boy,Kazanın Askerleri,kazanin_askerleri,grup,Tekfurun Askerleri,tekfurun_askerleri,kişi,çatışma; kazanın 25 askeri şehit oldu,çatışma,çatışma,5,negatif,yönsüz,açık_ilişki,çatışma; kazanın 25 askeri şehit oldu,kazanın askerleri - tekfurun askerleri (çatışma; kazanın 25 askeri şehit oldu),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv
DKR0680,703.0,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,boy,Tekfurun Askerleri,tekfurun_askerleri,kişi,Salur Kazan,salur_kazan,kişi,kazan esir alındı,çatışma,çatışma,5,negatif,yönsüz,açık_ilişki,kazan esir alındı,tekfurun askerleri - kazan (kazan esir alındı),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv
DKR0681,704.0,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,boy,Salur Kazan,salur_kazan,kişi,Kafirler (Uruz Kurtarma Boyu),kafirler_uruz_kurtarma_boyu,grup,uyandı - dalga geçti,belirsiz,olay,1,nötr,yönlü,açık_ilişki,uyandı - dalga geçti,kazan - kafirler (uyandı - dalga geçti),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv
