kayit_id,satir_no,boy,bolum_tipi,karakter_1,karakter_1_id,karakter_1_tipi,karakter_2,karakter_2_id,karakter_2_tipi,iliski_ham,iliski_turu,katman,agirlik,kutupluluk,yonluluk,cikarma_yontemi,not,ham_satir,kaynak_notu,source_file
DKR0764,789.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Salur Kazan,salur_kazan,kişi,Kılbaş,kilbas,kişi,dış oğuz neden gelmedi,belirsiz,olay,1,nötr,yönlü,açık_ilişki,dış oğuz neden gelmedi,kazan - kılbaş (dış oğuz neden gelmedi),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0765,790.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Kılbaş,kilbas,kişi,Salur Kazan,salur_kazan,kişi,evini dış oğuz olmadan yağmalattığın için gelmezler,belirsiz,olay,1,nötr,yönlü,açık_ilişki,evini dış oğuz olmadan yağmalattığın için gelmezler,kılbaş - kazan (evini dış oğuz olmadan yağmalattığın için gelmezler),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0766,791.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Salur Kazan,salur_kazan,kişi,Kılbaş,kilbas,kişi,"adavet bağladırlar, öyle mi?",hareket/eylem,olay,2,nötr,yönlü,açık_ilişki,"adavet bağladırlar, öyle mi?","kazan - kılbaş (adavet bağladırlar, öyle mi?)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0767,792.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Kılbaş,kilbas,kişi,Salur Kazan,salur_kazan,kişi,"ben gideyim onların sana dostluğunu, düşmanlığını bildireyim",belirsiz,olay,1,nötr,yönlü,açık_ilişki,"ben gideyim onların sana dostluğunu, düşmanlığını bildireyim","kılbaş - kazan (ben gideyim onların sana dostluğunu, düşmanlığını bildireyim)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0768,793.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Salur Kazan,salur_kazan,kişi,Kılbaş,kilbas,kişi,sen bilirsin,belirsiz,olay,1,nötr,yönlü,açık_ilişki,sen bilirsin,kazan - kılbaş (sen bilirsin),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0772,797.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Kılbaş,kilbas,kişi,Aruz,aruz,kişi,"kazan, dayım aruz bana yetişsin düşman geldi",belirsiz,olay,1,nötr,yönlü,açık_ilişki,"kazan, dayım aruz bana yetişsin düşman geldi","kılbaş - aruz (kazan, dayım aruz bana yetişsin düşman geldi)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0773,798.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Aruz,aruz,kişi,Kılbaş,kilbas,kişi,"kazan bizi neden yağmaya çağırmadı, biz kazan'a düşmanız",belirsiz,olay,1,nötr,yönlü,açık_ilişki,"kazan bizi neden yağmaya çağırmadı, biz kazan'a düşmanız","aruz - kılbaş (kazan bizi neden yağmaya çağırmadı, biz kazan'a düşmanız)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0774,799.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Kılbaş,kilbas,kişi,Aruz,aruz,kişi,"düşman üstümüze gelmemişti, ben senin dostluğunu düşmanlığını sınadım",belirsiz,olay,1,nötr,yönlü,açık_ilişki,"düşman üstümüze gelmemişti, ben senin dostluğunu düşmanlığını sınadım","kılbaş - aruz (düşman üstümüze gelmemişti, ben senin dostluğunu düşmanlığını sınadım)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0775,800.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Aruz,aruz,kişi,Saht Oldu,saht_oldu,kişi,,belirsiz,olay,1,nötr,yönlü,açık_ilişki,,aruz - saht oldu,ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
DKR0776,801.0,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,boy,Aruz,aruz,kişi,Dış Oğuz Beyleri,dis_oguz_beyleri,grup,"emir; emen, alp rüstem, döne bilmez dülek evren geri kalan tüm beyler gelsin",otorite/emir,otorite,3,nötr,yönlü,açık_ilişki,"emir; emen, alp rüstem, döne bilmez dülek evren geri kalan tüm beyler gelsin","aruz - dış oğuz beyleri (emir; emen, alp rüstem, döne bilmez dülek evren geri kalan tüm beyler gelsin)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv
