kayit_id,satir_no,boy,bolum_tipi,karakter_1,karakter_1_id,karakter_1_tipi,karakter_2,karakter_2_id,karakter_2_tipi,iliski_ham,iliski_turu,katman,agirlik,kutupluluk,yonluluk,cikarma_yontemi,not,ham_satir,kaynak_notu,source_file
DKR0816,1.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Salur Kazan,salur_kazan,kişi,Bayındır Han,bayindir_han,kişi,vekili,kimlik/unvan,kimlik,2,pozitif,yönlü,açık_ilişki,Bayındır Padişah'ın vekili,Salur Kazan - Bayındır Padişah (vekili),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0817,2.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Salur Kazan,salur_kazan,kişi,Türkistan,turkistan,yer/coğrafya,Türkistan'ın direği,coğrafi_epitet,mekân,4,pozitif,yönlü,epitet_aktarım,epitet,Salur Kazan - Türkistan (Türkistan'ın direği),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0818,3.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Serhat Beylerinden Ulak,serhat_beylerinden_ulak,grup,Salur Kazan,salur_kazan,kişi,düşman haberi verdi,diyalog_nötr,iletişim,2,nötr,yönlü,açık_ilişki,on bin düşman üstüne geliyor,Serhat beylerinden ulak - Salur Kazan (düşman haberi),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0819,4.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Salur Kazan,salur_kazan,kişi,Han Afşar,han_afsar,kişi,sağdan saldım,otorite/emir,otorite,3,pozitif,yönlü,açık_ilişki,komutan sevki,Salur Kazan - Han Afşar (sağdan saldım),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0820,5.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Salur Kazan,salur_kazan,kişi,Kıyan Oğlu Deli Dündar,kiyan_oglu_deli_dundar,kişi,soldan saldım,otorite/emir,otorite,3,pozitif,yönlü,açık_ilişki,komutan sevki,Salur Kazan - Kıyan Oğlu Deli Dündar (soldan saldım),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0821,6.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Salur Kazan,salur_kazan,kişi,İç Oğuz Beyleri,ic_oguz_beyleri,grup,sağdan saldım,otorite/emir,otorite,3,pozitif,yönlü,açık_ilişki,komuta ilişkisi,Salur Kazan - İç Oğuz beyleri (sağdan saldım),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0822,7.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Salur Kazan,salur_kazan,kişi,Dış Oğuz Ağaları,dis_oguz_agalari,grup,soldan buyurdum,otorite/emir,otorite,3,pozitif,yönlü,açık_ilişki,komuta ilişkisi,Salur Kazan - Dış Oğuz ağaları (soldan buyurdum),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0823,8.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Salur Kazan,salur_kazan,kişi,Yüz Bin Kâfir,yuz_bin_kafir,grup,savaş yaptı,çatışma,çatışma,5,negatif,yönsüz,açık_ilişki,yedi gün yedi gece savaş,Salur Kazan - yüz bin kâfir (savaş yaptı),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0824,9.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Salur Kazan,salur_kazan,kişi,Baş Açık,bas_acik,kişi,esir aldı,çatışma,çatışma,5,negatif,yönsüz,açık_ilişki,esaret,Salur Kazan - Baş Açık (esir aldı),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
DKR0825,10.0,13. Boy: Salur Kazan'ın Yedi Başlı Ejderhayı Öldürmesi,boy,Salur Kazan,salur_kazan,kişi,Lala Kılbaş,lala_kilbas,kişi,daruga yaptı,otorite/emir,otorite,3,pozitif,yönlü,açık_ilişki,Akça Kale Sürmeli'de daruga ataması,Salur Kazan - Lala Kılbaş (daruga yaptı),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı,14_salur_kazanin_yedi_basli_ejderhayi_oldurmesi_boyu.csv
